Locus	ProteinID	uniprot_id	Gene	CDS
b1082	NP_415600.1	P33235	flgK	lcl|NC_000913.3_cds_NP_415600.1_1055
b1083	NP_415601.1	P29744	flgL	lcl|NC_000913.3_cds_NP_415601.1_1056
b1084	NP_415602.1	P21513	rne	lcl|NC_000913.3_cds_NP_415602.1_1057
b1085	NP_415603.2	P62066	yceQ	lcl|NC_000913.3_cds_NP_415603.2_1058
b1086	NP_415604.1	P0AA39	rluC	lcl|NC_000913.3_cds_NP_415604.1_1059
b1087	NP_415605.2	P0A729	yceF	lcl|NC_000913.3_cds_NP_415605.2_1060
b1088	NP_415606.1	P0AB28	yceD	lcl|NC_000913.3_cds_NP_415606.1_1061
b1089	NP_415607.1	P0A7N4	rpmF	lcl|NC_000913.3_cds_NP_415607.1_1062
b1090	NP_415608.2	P27247	plsX	lcl|NC_000913.3_cds_NP_415608.2_1063
b1091	NP_415609.1	P0A6R0	fabH	lcl|NC_000913.3_cds_NP_415609.1_1064
b1092	NP_415610.1	P0AAI9	fabD	lcl|NC_000913.3_cds_NP_415610.1_1065
b1093	NP_415611.1	P0AEK2	fabG	lcl|NC_000913.3_cds_NP_415611.1_1066
b1094	NP_415612.1	P0A6A8	acpP	lcl|NC_000913.3_cds_NP_415612.1_1067
b1095	NP_415613.1	P0AAI5	fabF	lcl|NC_000913.3_cds_NP_415613.1_1068
b1096	NP_415614.1	P28305	pabC	lcl|NC_000913.3_cds_NP_415614.1_1069
b1097	NP_415615.1	P28306	mltG	lcl|NC_000913.3_cds_NP_415615.1_1070
b1098	NP_415616.1	P0A720	tmk	lcl|NC_000913.3_cds_NP_415616.1_1071
b1099	NP_415617.1	P28631	holB	lcl|NC_000913.3_cds_NP_415617.1_1072
b1100	NP_415618.1	P0AFQ7	ycfH	lcl|NC_000913.3_cds_NP_415618.1_1073
b1101	NP_415619.1	P69786	ptsG	lcl|NC_000913.3_cds_NP_415619.1_1074
b1102	NP_415620.1	P16869	fhuE	lcl|NC_000913.3_cds_NP_415620.1_1075
b1103	NP_415621.3	P0ACE7	hinT	lcl|NC_000913.3_cds_NP_415621.3_1076
b1104	NP_415622.1	P75946	ycfL	lcl|NC_000913.3_cds_NP_415622.1_1077
b1105	NP_415623.1	P0AB38	lpoB	lcl|NC_000913.3_cds_NP_415623.1_1078
b1106	NP_415624.1	P75948	thiK	lcl|NC_000913.3_cds_NP_415624.1_1079
b1107	NP_415625.1	P75949	nagZ	lcl|NC_000913.3_cds_NP_415625.1_1080
b1108	NP_415626.4	P0A8E1	ycfP	lcl|NC_000913.3_cds_NP_415626.4_1081
b1109	NP_415627.1	P00393	ndh	lcl|NC_000913.3_cds_NP_415627.1_1082
b1110	NP_415628.1	P0AB35	ycfJ	lcl|NC_000913.3_cds_NP_415628.1_1083
b1111	NP_415629.4	P75952	comR	lcl|NC_000913.3_cds_NP_415629.4_1084
b1112	NP_415630.1	P0AB40	bhsA	lcl|NC_000913.3_cds_NP_415630.1_1085
b1113	NP_415631.1	P75954	ldtC	lcl|NC_000913.3_cds_NP_415631.1_1086
b1114	NP_415632.1	P30958	mfd	lcl|NC_000913.3_cds_NP_415632.1_1087
b1115	NP_415633.1	P75955	ycfT	lcl|NC_000913.3_cds_NP_415633.1_1088
b1116	NP_415634.1	P0ADC3	lolC	lcl|NC_000913.3_cds_NP_415634.1_1089
b1117	NP_415635.4	P75957	lolD	lcl|NC_000913.3_cds_NP_415635.4_1090
b1118	NP_415636.1	P75958	lolE	lcl|NC_000913.3_cds_NP_415636.1_1091
b1119	NP_415637.1	P75959	nagK	lcl|NC_000913.3_cds_NP_415637.1_1092
b1120	NP_415638.3	P75960	cobB	lcl|NC_000913.3_cds_NP_415638.3_1093
b1120	YP_010051180.1	P75960	cobB	lcl|NC_000913.3_cds_YP_010051180.1_1094
b1121	NP_415639.1	P75961	ycfZ	lcl|NC_000913.3_cds_NP_415639.1_1095
b1122	NP_415640.2	P75962	ymfA	lcl|NC_000913.3_cds_NP_415640.2_1096
b1123	NP_415641.1	P0AFK9	potD	lcl|NC_000913.3_cds_NP_415641.1_1097
b1124	NP_415642.1	P0AFK6	potC	lcl|NC_000913.3_cds_NP_415642.1_1098
b1125	NP_415643.3	P0AFK4	potB	lcl|NC_000913.3_cds_NP_415643.3_1099
b1126	NP_415644.1	P69874	potA	lcl|NC_000913.3_cds_NP_415644.1_1100
b1127	NP_415645.1	P29745	pepT	lcl|NC_000913.3_cds_NP_415645.1_1101
b1128	NP_415646.4	P27431	roxA	lcl|NC_000913.3_cds_NP_415646.4_1102
b1129	NP_415647.1	P23837	phoQ	lcl|NC_000913.3_cds_NP_415647.1_1103
b1130	NP_415648.1	P23836	phoP	lcl|NC_000913.3_cds_NP_415648.1_1104
b1131	NP_415649.1	P0AB89	purB	lcl|NC_000913.3_cds_NP_415649.1_1105
b1132	NP_415650.1	P25746	hflD	lcl|NC_000913.3_cds_NP_415650.1_1106
b1133	NP_415651.4	P25745	mnmA	lcl|NC_000913.3_cds_NP_415651.4_1107
b1134	NP_415652.1	P0AEI6	nudJ	lcl|NC_000913.3_cds_NP_415652.1_1108
b1135	NP_415653.4	P75966	rluE	lcl|NC_000913.3_cds_NP_415653.4_1109
b1136	NP_415654.1	P08200	icd	lcl|NC_000913.3_cds_NP_415654.1_1110
b1137	NP_415655.1	P75967	ymfD	lcl|NC_000913.3_cds_NP_415655.1_1111
b1138	NP_415656.1	P75968	ymfE	lcl|NC_000913.3_cds_NP_415656.1_1112
b1139	NP_415657.1	P11072	lit	lcl|NC_000913.3_cds_NP_415657.1_1113
b1140	NP_415658.1	P75969	intE	lcl|NC_000913.3_cds_NP_415658.1_1114
b1141	NP_415659.1	P75970	xisE	lcl|NC_000913.3_cds_NP_415659.1_1115
b1142	YP_009518763.1	P75971	ymfH	lcl|NC_000913.3_cds_YP_009518763.1_1116
b1143	NP_415661.2	P75972	ymfI	lcl|NC_000913.3_cds_NP_415661.2_1117
b1144	NP_415662.2	P75973	ymfJ	lcl|NC_000913.3_cds_NP_415662.2_1118
b1145	NP_415663.1	P75974	ymfK	lcl|NC_000913.3_cds_NP_415663.1_1119
b1146	NP_415664.2	P75975	ymfT	lcl|NC_000913.3_cds_NP_415664.2_1120
b1147	NP_415665.2	P75976	ymfL	lcl|NC_000913.3_cds_NP_415665.2_1121
b1148	NP_415666.1	P75977	ymfM	lcl|NC_000913.3_cds_NP_415666.1_1122
b1149	YP_009518764.1	P75978	ymfN	lcl|NC_000913.3_cds_YP_009518764.1_1123
b1150	NP_415668.1	P75979	ymfR	lcl|NC_000913.3_cds_NP_415668.1_1124
b1151	YP_009518765.1	P75980	beeE	lcl|NC_000913.3_cds_YP_009518765.1_1125
b1153	NP_415671.1	P75982	ymfQ	lcl|NC_000913.3_cds_NP_415671.1_1126
b1154	NP_415672.1	P45581	ycfK	lcl|NC_000913.3_cds_NP_415672.1_1127
b1155	NP_415673.1	P09154	tfaP	lcl|NC_000913.3_cds_NP_415673.1_1128
b1156	NP_415674.1	P09153	tfaE	lcl|NC_000913.3_cds_NP_415674.1_1129
b1158	NP_415676.1	P03014	pinE	lcl|NC_000913.3_cds_NP_415676.1_1130
b1159	NP_415677.1	P24200	mcrA	lcl|NC_000913.3_cds_NP_415677.1_1131
b1160	NP_415678.1	P75987	iraM	lcl|NC_000913.3_cds_NP_415678.1_1132
b4738	YP_009518766.1	P0DPN8	ymgK	lcl|NC_000913.3_cds_YP_009518766.1_1133
b4739	YP_009518767.1	P0DPN9	ymgL	lcl|NC_000913.3_cds_YP_009518767.1_1134
b1161	NP_415679.1	P75988	ycgX	lcl|NC_000913.3_cds_NP_415679.1_1135
b1162	NP_415680.1	P75989	bluR	lcl|NC_000913.3_cds_NP_415680.1_1136
b1163	NP_415681.1	P75990	bluF	lcl|NC_000913.3_cds_NP_415681.1_1137
b1164	NP_415682.1	P75991	ycgZ	lcl|NC_000913.3_cds_NP_415682.1_1138
b1165	NP_415683.1	P75992	ymgA	lcl|NC_000913.3_cds_NP_415683.1_1139
b1166	NP_415684.1	P75993	ariR	lcl|NC_000913.3_cds_NP_415684.1_1140
b1167	NP_415685.1	P75994	ymgC	lcl|NC_000913.3_cds_NP_415685.1_1141
b1168	NP_415686.2	P75995	pdeG	lcl|NC_000913.3_cds_NP_415686.2_1142
b4520	YP_588447.1	P58034	ymgF	lcl|NC_000913.3_cds_YP_588447.1_1143
b1171	NP_415689.2	P0AB46	ymgD	lcl|NC_000913.3_cds_NP_415689.2_1144
b1172	NP_415690.5	Q7DFV3	ymgG	lcl|NC_000913.3_cds_NP_415690.5_1145
b4593	YP_001165314.1	A5A611	ymgI	lcl|NC_000913.3_cds_YP_001165314.1_1146
b4594	YP_001165315.1	A5A612	ymgJ	lcl|NC_000913.3_cds_YP_001165315.1_1147
b1174	NP_415692.1	P0A734	minE	lcl|NC_000913.3_cds_NP_415692.1_1148
b1175	NP_415693.1	P0AEZ3	minD	lcl|NC_000913.3_cds_NP_415693.1_1149
b1176	NP_415694.1	P18196	minC	lcl|NC_000913.3_cds_NP_415694.1_1150
b1177	NP_415695.1	P76001	ycgJ	lcl|NC_000913.3_cds_NP_415695.1_1151
b1178	NP_415696.1	P76002	pliG	lcl|NC_000913.3_cds_NP_415696.1_1152
b4816	YP_010283909.1	P0DUW1	ymgN	lcl|NC_000913.3_cds_YP_010283909.1_1153
b1179	NP_415697.5	P0AB43	ycgL	lcl|NC_000913.3_cds_NP_415697.5_1154
b1180	NP_415698.1	P76004	ycgM	lcl|NC_000913.3_cds_NP_415698.1_1155
b1181	NP_415699.5	P0A8L5	ycgN	lcl|NC_000913.3_cds_NP_415699.5_1156
b1182	NP_415700.4	P77335	hlyE	lcl|NC_000913.3_cds_NP_415700.4_1157
b1183	NP_415701.1	P0AG11	umuD	lcl|NC_000913.3_cds_NP_415701.1_1158
b1184	NP_415702.1	P04152	umuC	lcl|NC_000913.3_cds_NP_415702.1_1159
b1185	NP_415703.3	P0A6M2	dsbB	lcl|NC_000913.3_cds_NP_415703.3_1160
b1186	NP_415704.1	P0AFA7	nhaB	lcl|NC_000913.3_cds_NP_415704.1_1161
b1187	NP_415705.1	P0A8V6	fadR	lcl|NC_000913.3_cds_NP_415705.1_1162
b1188	NP_415706.1	P29013	ycgB	lcl|NC_000913.3_cds_NP_415706.1_1163
b1189	NP_415707.1	P0A6J5	dadA	lcl|NC_000913.3_cds_NP_415707.1_1164
b1190	NP_415708.1	P29012	dadX	lcl|NC_000913.3_cds_NP_415708.1_1165
b4740	YP_009518768.1	P0DPO0	ymgM	lcl|NC_000913.3_cds_YP_009518768.1_1166
b1191	NP_415709.2	P76007	cvrA	lcl|NC_000913.3_cds_NP_415709.2_1167
b1192	NP_415710.1	P76008	ldcA	lcl|NC_000913.3_cds_NP_415710.1_1168
b1193	NP_415711.2	P0C960	emtA	lcl|NC_000913.3_cds_NP_415711.2_1169
b1194	NP_415712.1	P76010	ycgR	lcl|NC_000913.3_cds_NP_415712.1_1170
b1195	NP_415713.1	P76011	ymgE	lcl|NC_000913.3_cds_NP_415713.1_1171
b1196	NP_415714.1	P76012	ycgY	lcl|NC_000913.3_cds_NP_415714.1_1172
b1197	NP_415715.1	P13482	treA	lcl|NC_000913.3_cds_NP_415715.1_1173
b1198	NP_415716.4	P37349	dhaM	lcl|NC_000913.3_cds_NP_415716.4_1174
b1199	NP_415717.1	P76014	dhaL	lcl|NC_000913.3_cds_NP_415717.1_1175
b1200	NP_415718.6	P76015	dhaK	lcl|NC_000913.3_cds_NP_415718.6_1176
b1201	NP_415719.2	P76016	dhaR	lcl|NC_000913.3_cds_NP_415719.2_1177
b1202	NP_415720.1	P76017	ycgV	lcl|NC_000913.3_cds_NP_415720.1_1178
b1203	NP_415721.1	P0ABU2	ychF	lcl|NC_000913.3_cds_NP_415721.1_1179
b1204	NP_415722.1	P0A7D1	pth	lcl|NC_000913.3_cds_NP_415722.1_1180
b1205	NP_415723.1	P0AB49	ychH	lcl|NC_000913.3_cds_NP_415723.1_1181
b1206	NP_415724.2	P0AFR2	dauA	lcl|NC_000913.3_cds_NP_415724.2_1182
b1207	NP_415725.1	P0A717	prs	lcl|NC_000913.3_cds_NP_415725.1_1183
b1208	NP_415726.1	P62615	ispE	lcl|NC_000913.3_cds_NP_415726.1_1184
b1209	NP_415727.1	P61320	lolB	lcl|NC_000913.3_cds_NP_415727.1_1185
b1210	NP_415728.1	P0A6X1	hemA	lcl|NC_000913.3_cds_NP_415728.1_1186
b1211	NP_415729.1	P0A7I0	prfA	lcl|NC_000913.3_cds_NP_415729.1_1187
b1212	NP_415730.1	P0ACC1	prmC	lcl|NC_000913.3_cds_NP_415730.1_1188
b1213	NP_415731.1	Q46755	ychQ	lcl|NC_000913.3_cds_NP_415731.1_1189
b1214	NP_415732.1	P0AGM5	ychA	lcl|NC_000913.3_cds_NP_415732.1_1190
b1215	NP_415733.1	P0A715	kdsA	lcl|NC_000913.3_cds_NP_415733.1_1191
b4419	YP_025297.1	P0DPD0	ldrA	lcl|NC_000913.3_cds_YP_025297.1_1192
b4421	YP_025298.1	Q6BF87	ldrB	lcl|NC_000913.3_cds_YP_025298.1_1193
b4423	YP_025299.1	P0DPD1	ldrC	lcl|NC_000913.3_cds_YP_025299.1_1194
b1216	NP_415734.1	P31801	chaA	lcl|NC_000913.3_cds_NP_415734.1_1195
b1217	NP_415735.1	P0AE63	chaB	lcl|NC_000913.3_cds_NP_415735.1_1196
b1218	NP_415736.2	P39163	chaC	lcl|NC_000913.3_cds_NP_415736.2_1197
b1219	NP_415737.1	P0AB52	ychN	lcl|NC_000913.3_cds_NP_415737.1_1198
b1220	NP_415738.2	P39165	ychO	lcl|NC_000913.3_cds_NP_415738.2_1199
b1221	NP_415739.1	P0AF28	narL	lcl|NC_000913.3_cds_NP_415739.1_1200
b1222	NP_415740.1	P0AFA2	narX	lcl|NC_000913.3_cds_NP_415740.1_1201
b1223	NP_415741.1	P10903	narK	lcl|NC_000913.3_cds_NP_415741.1_1202
b1224	NP_415742.1	P09152	narG	lcl|NC_000913.3_cds_NP_415742.1_1203
b1225	NP_415743.1	P11349	narH	lcl|NC_000913.3_cds_NP_415743.1_1204
b1226	NP_415744.1	P0AF26	narJ	lcl|NC_000913.3_cds_NP_415744.1_1205
b1227	NP_415745.1	P11350	narI	lcl|NC_000913.3_cds_NP_415745.1_1206
b1228	YP_009518769.1	P76023	ychS	lcl|NC_000913.3_cds_YP_009518769.1_1207
b1229	NP_415747.2	P02338	tpr	lcl|NC_000913.3_cds_NP_415747.2_1208
b1232	NP_415748.1	P37051	purU	lcl|NC_000913.3_cds_NP_415748.1_1209
b1233	NP_415749.1	P37052	ychJ	lcl|NC_000913.3_cds_NP_415749.1_1210
b1234	NP_415750.2	P0AFR0	rssA	lcl|NC_000913.3_cds_NP_415750.2_1211
b1235	NP_415751.1	P0AEV1	rssB	lcl|NC_000913.3_cds_NP_415751.1_1212
b1236	NP_415752.1	P0AEP3	galU	lcl|NC_000913.3_cds_NP_415752.1_1213
b1237	NP_415753.1	P0ACF8	hns	lcl|NC_000913.3_cds_NP_415753.1_1214
b1238	NP_415754.1	P23331	tdk	lcl|NC_000913.3_cds_NP_415754.1_1215
b1241	NP_415757.1	P0A9Q7	adhE	lcl|NC_000913.3_cds_NP_415757.1_1216
b4771	YP_010051181.1	P0DSE9	ychT	lcl|NC_000913.3_cds_YP_010051181.1_1217
b1242	NP_415758.1	P25743	ychE	lcl|NC_000913.3_cds_NP_415758.1_1218
b4711	NP_417962.2	NA	insH21	lcl|NC_000913.3_cds_NP_417962.2_1219
b1243	NP_415759.1	P23843	oppA	lcl|NC_000913.3_cds_NP_415759.1_1220
b1244	NP_415760.1	P0AFH2	oppB	lcl|NC_000913.3_cds_NP_415760.1_1221
b1245	NP_415761.1	P0AFH6	oppC	lcl|NC_000913.3_cds_NP_415761.1_1222
b1246	YP_025300.1	P76027	oppD	lcl|NC_000913.3_cds_YP_025300.1_1223
b1247	NP_415763.1	P77737	oppF	lcl|NC_000913.3_cds_NP_415763.1_1224
b1248	NP_415764.4	P0A8L7	yciU	lcl|NC_000913.3_cds_NP_415764.4_1225
b1249	NP_415765.1	P0A6H8	clsA	lcl|NC_000913.3_cds_NP_415765.1_1226
b4595	YP_001165316.1	A5A613	yciY	lcl|NC_000913.3_cds_YP_001165316.1_1227
b1250	NP_415766.1	P31069	kch	lcl|NC_000913.3_cds_NP_415766.1_1228
b1251	NP_415767.2	P0AB55	yciI	lcl|NC_000913.3_cds_NP_415767.2_1229
b1252	NP_415768.1	P02929	tonB	lcl|NC_000913.3_cds_NP_415768.1_1230
b1253	NP_415769.1	P0A8Z0	yciA	lcl|NC_000913.3_cds_NP_415769.1_1231
b1254	NP_415770.1	P0A710	yciB	lcl|NC_000913.3_cds_NP_415770.1_1232
b1255	NP_415771.1	P21365	yciC	lcl|NC_000913.3_cds_NP_415771.1_1233
b1256	NP_415772.1	P0A915	ompW	lcl|NC_000913.3_cds_NP_415772.1_1234
b1257	NP_415773.1	P21363	yciE	lcl|NC_000913.3_cds_NP_415773.1_1235
b1258	NP_415774.1	P21362	yciF	lcl|NC_000913.3_cds_NP_415774.1_1236
b1259	NP_415775.4	P21361	yciG	lcl|NC_000913.3_cds_NP_415775.4_1237
b1260	NP_415776.1	P0A877	trpA	lcl|NC_000913.3_cds_NP_415776.1_1238
b1261	NP_415777.1	P0A879	trpB	lcl|NC_000913.3_cds_NP_415777.1_1239
b1262	NP_415778.3	P00909	trpC	lcl|NC_000913.3_cds_NP_415778.3_1240
b1263	NP_415779.1	P00904	trpD	lcl|NC_000913.3_cds_NP_415779.1_1241
b1264	NP_415780.1	P00895	trpE	lcl|NC_000913.3_cds_NP_415780.1_1242
b1265	NP_415781.1	P0AD92	trpL	lcl|NC_000913.3_cds_NP_415781.1_1243
b1266	NP_415782.1	P77766	rnm	lcl|NC_000913.3_cds_NP_415782.1_1244
b1267	NP_415783.6	P0AFR4	yciO	lcl|NC_000913.3_cds_NP_415783.6_1245
b1268	NP_415784.1	P45848	yciQ	lcl|NC_000913.3_cds_NP_415784.1_1246
b1269	NP_415785.1	P37765	rluB	lcl|NC_000913.3_cds_NP_415785.1_1247
b1270	NP_415786.1	P0A9H5	btuR	lcl|NC_000913.3_cds_NP_415786.1_1248
b1271	NP_415787.1	P31808	yciK	lcl|NC_000913.3_cds_NP_415787.1_1249
b1272	NP_415788.1	P0AG14	sohB	lcl|NC_000913.3_cds_NP_415788.1_1250
b1273	NP_415789.1	P0AB61	yciN	lcl|NC_000913.3_cds_NP_415789.1_1251
b1274	NP_415790.1	P06612	topA	lcl|NC_000913.3_cds_NP_415790.1_1252
b1275	NP_415791.1	P0A9F3	cysB	lcl|NC_000913.3_cds_NP_415791.1_1253
b4522	YP_588449.3	P0CB62	ymiA	lcl|NC_000913.3_cds_YP_588449.3_1254
b4523	YP_588450.2	P58094	yciX	lcl|NC_000913.3_cds_YP_588450.2_1255
b4741	YP_009518771.1	P0DPO1	ymiC	lcl|NC_000913.3_cds_YP_009518771.1_1256
b1276	NP_415792.1	P25516	acnA	lcl|NC_000913.3_cds_NP_415792.1_1257
b1277	NP_415793.1	P0A7I7	ribA	lcl|NC_000913.3_cds_NP_415793.1_1258
b1278	NP_415794.1	P0A924	pgpB	lcl|NC_000913.3_cds_NP_415794.1_1259
b1279	NP_415795.1	P0ACV4	lapA	lcl|NC_000913.3_cds_NP_415795.1_1260
b1280	NP_415796.1	P0AB58	lapB	lcl|NC_000913.3_cds_NP_415796.1_1261
b1281	NP_415797.1	P08244	pyrF	lcl|NC_000913.3_cds_NP_415797.1_1262
b1282	NP_415798.2	P08245	yciH	lcl|NC_000913.3_cds_NP_415798.2_1263
b1283	NP_415799.1	P0ADA7	osmB	lcl|NC_000913.3_cds_NP_415799.1_1264
b1284	NP_415800.1	P76034	yciT	lcl|NC_000913.3_cds_NP_415800.1_1265
b4596	YP_001165317.1	A5A614	yciZ	lcl|NC_000913.3_cds_YP_001165317.1_1266
b4772	YP_010051182.1	P0DSF0	ymiD	lcl|NC_000913.3_cds_YP_010051182.1_1267
b1285	NP_415801.1	P77334	pdeR	lcl|NC_000913.3_cds_NP_415801.1_1268
b4672	YP_002791239.1	C1P5Z9	ymiB	lcl|NC_000913.3_cds_YP_002791239.1_1269
b1286	NP_415802.1	P30850	rnb	lcl|NC_000913.3_cds_NP_415802.1_1270
b1287	NP_415803.2	P76035	yciW	lcl|NC_000913.3_cds_NP_415803.2_1271
b1288	NP_415804.1	P0AEK4	fabI	lcl|NC_000913.3_cds_NP_415804.1_1272
b1289	NP_415805.1	P45736	ycjD	lcl|NC_000913.3_cds_NP_415805.1_1273
b1290	NP_415806.1	P0AAH8	sapF	lcl|NC_000913.3_cds_NP_415806.1_1274
b1291	NP_415807.1	P0AAH4	sapD	lcl|NC_000913.3_cds_NP_415807.1_1275
b1292	NP_415808.1	P0AGH5	sapC	lcl|NC_000913.3_cds_NP_415808.1_1276
b1293	NP_415809.1	P0AGH3	sapB	lcl|NC_000913.3_cds_NP_415809.1_1277
b1294	NP_415810.1	Q47622	sapA	lcl|NC_000913.3_cds_NP_415810.1_1278
b1295	NP_415811.1	P0ACV8	ymjA	lcl|NC_000913.3_cds_NP_415811.1_1279
b1296	NP_415812.4	P76037	puuP	lcl|NC_000913.3_cds_NP_415812.4_1280
b4742	YP_009518772.1	P0DPO2	ymjE	lcl|NC_000913.3_cds_YP_009518772.1_1281
b1297	NP_415813.4	P78061	puuA	lcl|NC_000913.3_cds_NP_415813.4_1282
b1298	NP_415814.4	P76038	puuD	lcl|NC_000913.3_cds_NP_415814.4_1283
b1299	NP_415815.1	P0A9U6	puuR	lcl|NC_000913.3_cds_NP_415815.1_1284
b1300	NP_415816.1	P23883	puuC	lcl|NC_000913.3_cds_NP_415816.1_1285
b1301	NP_415817.1	P37906	puuB	lcl|NC_000913.3_cds_NP_415817.1_1286
b1302	NP_415818.1	P50457	puuE	lcl|NC_000913.3_cds_NP_415818.1_1287
b1303	NP_415819.4	P37344	pspF	lcl|NC_000913.3_cds_NP_415819.4_1288
b1304	NP_415820.1	P0AFM6	pspA	lcl|NC_000913.3_cds_NP_415820.1_1289
b1305	NP_415821.1	P0AFM9	pspB	lcl|NC_000913.3_cds_NP_415821.1_1290
b1306	NP_415822.1	P0AFN2	pspC	lcl|NC_000913.3_cds_NP_415822.1_1291
b1307	NP_415823.1	P0AFV8	pspD	lcl|NC_000913.3_cds_NP_415823.1_1292
b1308	NP_415824.1	P23857	pspE	lcl|NC_000913.3_cds_NP_415824.1_1293
b1309	NP_415825.4	P76041	ycjM	lcl|NC_000913.3_cds_NP_415825.4_1294
b1310	NP_415826.1	P76042	ycjN	lcl|NC_000913.3_cds_NP_415826.1_1295
b1311	NP_415827.1	P0AFR7	ycjO	lcl|NC_000913.3_cds_NP_415827.1_1296
b1312	NP_415828.1	P77716	ycjP	lcl|NC_000913.3_cds_NP_415828.1_1297
b1313	NP_415829.1	P76043	ycjQ	lcl|NC_000913.3_cds_NP_415829.1_1298
b1314	NP_415830.2	P76044	ycjR	lcl|NC_000913.3_cds_NP_415830.2_1299
b1315	NP_415831.1	P77503	ycjS	lcl|NC_000913.3_cds_NP_415831.1_1300
b1316	NP_415832.1	P77154	ycjT	lcl|NC_000913.3_cds_NP_415832.1_1301
b1317	NP_415833.1	P77366	ycjU	lcl|NC_000913.3_cds_NP_415833.1_1302
b1319	NP_415835.1	P76045	ompG	lcl|NC_000913.3_cds_NP_415835.1_1303
b1320	NP_415836.1	P77615	ycjW	lcl|NC_000913.3_cds_NP_415836.1_1304
b1321	NP_415837.1	P76046	ycjX	lcl|NC_000913.3_cds_NP_415837.1_1305
b1322	NP_415838.1	P0A8R7	ycjF	lcl|NC_000913.3_cds_NP_415838.1_1306
b1323	NP_415839.1	P07604	tyrR	lcl|NC_000913.3_cds_NP_415839.1_1307
b1324	NP_415840.1	P0A862	tpx	lcl|NC_000913.3_cds_NP_415840.1_1308
b1325	NP_415841.4	P51981	ycjG	lcl|NC_000913.3_cds_NP_415841.4_1309
b1326	NP_415842.2	P0ACV6	mpaA	lcl|NC_000913.3_cds_NP_415842.2_1310
b4525	YP_009518773.1	Q2EER5	ymjC	lcl|NC_000913.3_cds_YP_009518773.1_1311
b4673	YP_009518774.1	P0CD93	ymjD	lcl|NC_000913.3_cds_YP_009518774.1_1312
b1327	NP_415843.2	P76049	ycjY	lcl|NC_000913.3_cds_NP_415843.2_1313
b1328	NP_415844.1	P77333	pgrR	lcl|NC_000913.3_cds_NP_415844.1_1314
b1329	NP_415845.2	P77348	mppA	lcl|NC_000913.3_cds_NP_415845.2_1315
b1330	NP_415846.1	NA	ynaI	lcl|NC_000913.3_cds_NP_415846.1_1316
b1331	YP_009518770.2	P0CE52	insH4	lcl|NC_000913.3_cds_YP_009518770.2_1317
b1332	NP_415848.1	P64445	ynaJ	lcl|NC_000913.3_cds_NP_415848.1_1318
b1333	NP_415849.1	P0AAC0	uspE	lcl|NC_000913.3_cds_NP_415849.1_1319
b1334	NP_415850.1	P0A9E5	fnr	lcl|NC_000913.3_cds_NP_415850.1_1320
b1335	NP_415851.1	P0AFH0	ogt	lcl|NC_000913.3_cds_NP_415851.1_1321
b1336	NP_415852.2	P46133	abgT	lcl|NC_000913.3_cds_NP_415852.2_1322
b1337	NP_415853.1	P76052	abgB	lcl|NC_000913.3_cds_NP_415853.1_1323
b1338	NP_415854.4	P77357	abgA	lcl|NC_000913.3_cds_NP_415854.4_1324
b1339	NP_415855.1	P77744	abgR	lcl|NC_000913.3_cds_NP_415855.1_1325
b1340	NP_415856.1	P76053	smrA	lcl|NC_000913.3_cds_NP_415856.1_1326
b1341	NP_415857.2	P77302	dgcM	lcl|NC_000913.3_cds_NP_415857.2_1327
b4773	YP_010051183.1	P0DSF1	ynaN	lcl|NC_000913.3_cds_YP_010051183.1_1328
b1342	NP_415858.1	P64423	zntB	lcl|NC_000913.3_cds_NP_415858.1_1329
b4743	YP_009518775.1	P0DPO3	ynaL	lcl|NC_000913.3_cds_YP_009518775.1_1330
b1343	NP_415859.1	P21693	dbpA	lcl|NC_000913.3_cds_NP_415859.1_1331
b1344	NP_415860.1	P76055	ttcA	lcl|NC_000913.3_cds_NP_415860.1_1332
b1345	NP_415861.1	P76056	intR	lcl|NC_000913.3_cds_NP_415861.1_1333
b1346	NP_415862.4	P76057	xisR	lcl|NC_000913.3_cds_NP_415862.4_1334
b1347	NP_415863.1	P33230	rcbA	lcl|NC_000913.3_cds_NP_415863.1_1335
b1348	NP_415864.1	P33229	ralR	lcl|NC_000913.3_cds_NP_415864.1_1336
b1349	NP_415865.1	P33228	recT	lcl|NC_000913.3_cds_NP_415865.1_1337
b1350	NP_415866.1	P15032	recE	lcl|NC_000913.3_cds_NP_415866.1_1338
b1351	NP_415867.1	P15033	racC	lcl|NC_000913.3_cds_NP_415867.1_1339
b4526	YP_588451.1	P38394	ydaE	lcl|NC_000913.3_cds_YP_588451.1_1340
b1352	NP_415869.2	P38393	kilR	lcl|NC_000913.3_cds_NP_415869.2_1341
b1353	NP_415870.4	P38392	sieB	lcl|NC_000913.3_cds_NP_415870.4_1342
b4527	NP_415872.2	P0ACW0	ydaF	lcl|NC_000913.3_cds_NP_415872.2_1343
b1355	NP_415873.2	P76061	ydaG	lcl|NC_000913.3_cds_NP_415873.2_1344
b1356	NP_415874.1	P76062	racR	lcl|NC_000913.3_cds_NP_415874.1_1345
b1357	NP_415875.1	P76063	ydaS	lcl|NC_000913.3_cds_NP_415875.1_1346
b1358	NP_415876.1	P76064	ydaT	lcl|NC_000913.3_cds_NP_415876.1_1347
b1359	NP_415877.1	P76065	ydaU	lcl|NC_000913.3_cds_NP_415877.1_1348
